country,year,GDP,Unemployment,Rate,Debt
Canada,1995,605961090061.207,9.489,8.645833333,77.3126219756355
Canada,1996,630607994132.747,9.62,6.0625,78.0386679289258
Canada,1997,654986999855.554,9.1,4.958333333,74.9284095733244
Canada,1998,634000000000.0,8.278,6.604166667,72.4827997563099
Canada,1999,678412196271.118,7.583,6.4375,66.245831750035
Canada,2000,744773415931.587,6.829,7.270833333,58.7379742383571
Canada,2001,738981792355.372,7.219,5.8125,57.4583564504362
Canada,2002,760649334098.005,7.665,4.208333333,54.1491194927984
Canada,2003,895540646634.787,7.574,4.6875,51.2713370557453
Canada,2004,1026690238278.25,7.185,4.0,46.8009858324025
Canada,2005,1173108598778.68,6.758,4.416666667,46.0616514241618
Canada,2006,1319264809590.97,6.484,5.8125,43.2916781929928
Canada,2007,1468820407783.26,6.156,6.104166667,39.1585639491399
Canada,2008,1552989690721.65,6.284,4.729166667,45.3205112731135
Canada,2009,1374625142157.29,8.46,2.395833333,53.1924466726998
Canada,2010,1617343367486.26,8.178,2.604166667,53.1497329605545
Canada,2011,1793326630174.52,7.637,3.0,54.1193858391726
Canada,2012,1828366481521.6,7.392,3.0,55.7251649377054
Canada,2013,1846597421834.98,7.143,3.0,53.200869076551
Canada,2014,1805749878439.94,7.023,3.0,51.4827081297932
Canada,2015,1556508816217.14,6.945,2.775,55.9915837788793
Canada,2016,1527994741907.43,7.038,2.7,56.0236243991088
Canada,2017,1649265644244.09,6.426,2.7,54.4625651849142
Canada,2018,1725329192783.02,5.837,,53.1515356456582
Canada,2019,1743725183672.52,5.69,,53.3623246913959
Canada,2020,1655684730000.19,9.657,,74.5544073791525
Canada,2021,2022378748423.23,7.527,,68.7795713723483
Canada,2022,2190411080134.32,5.279,,59.9440184640855
Canada,2023,2173339670064.33,5.415,,62.4731322069255
China,1995,738190896227.55,3.0,12.06,
China,1996,868523936530.083,3.12,10.08,
China,1997,967753570434.667,3.23,8.64,
China,1998,1037134141760.35,3.24,6.39,
China,1999,1103843203575.64,3.25,5.85,
China,2000,1223754919971.05,3.26,5.85,
China,2001,1355036590251.52,3.8,5.85,
